序号,企业名称,国家,省份,城市
1,山东省安泰化工压力容器检验中心有限公司,中国,山东,济南
2,山东通汇数字科技有限公司,中国,山东,济南
3,山东省电子口岸有限公司,中国,山东,济南
4,山东黄河勘测设计研究院有限公司,中国,山东,济南
5,山东亚丰建设工程有限公司,中国,山东,济南
6,山东鸿鹄数商电子科技有限公司,中国,山东,济南
7,碳索者（山东）新能源开发有限公司,中国,山东,济南
8,山东阿雅娜医疗科技有限公司,中国,山东,济南
9,世纪祥云（山东）环境科技有限公司,中国,山东,济南
10,山东柯联信息科技有限公司,中国,山东,济南
11,山东微广软件有限公司,中国,山东,济南
12,特教（山东）教育科技集团有限公司,中国,山东,济南
13,济南泉方科技有限公司,中国,山东,济南
14,百纳数字科技有限公司,中国,山东,济南
15,致谷建筑设计（山东）有限公司,中国,山东,济南
16,山东四季汽车服务有限公司,中国,山东,济南
17,易研学教育科技（山东）有限责任公司,中国,山东,济南
18,山东中关创业信息科技股份有限公司,中国,山东,济南
19,济南德易洗熨有限责任公司,中国,山东,济南
20,山东高速新能源开发有限公司,中国,山东,济南
21,山东嘉行博悦传媒科技有限公司,中国,山东,济南
22,济南城市静态交通管理运营集团有限公司,中国,山东,济南
23,山东优展文化传媒有限公司,中国,山东,济南
24,山东齐水建设工程有限公司,中国,山东,济南
25,济南光启科技发展集团有限公司,中国,山东,济南
26,山东米通智能科技有限公司,中国,山东,济南
27,济南三五一五信息科技有限责任公司,中国,山东,济南
28,山东新中天信息技术股份有限公司,中国,山东,济南
29,山东卓智盈讯科技信息有限公司,中国,山东,济南
30,济南琥鑫商贸有限公司,中国,山东,济南
31,山东恒信顺达数字科技有限公司,中国,山东,济南
32,山东婧馨生物科技有限公司,中国,山东,济南
33,山东舜顺达新材料科技有限公司,中国,山东,济南
34,山东鲁维素饲料有限公司,中国,山东,济南
35,济南西门子能源变压器有限公司,中国,山东,济南
36,济南建工集团建材科技有限公司,中国,山东,济南
37,方块云（山东）信息技术有限公司,中国,山东,济南
38,济南利君机械设备有限公司,中国,山东,济南
39,盛润（山东）工业科技有限公司,中国,山东,济南
40,济南盈讯科技有限公司,中国,山东,济南
41,格林纬度智能科技（山东）有限公司,中国,山东,济南
42,山东鑫士达新能源科技有限公司,中国,山东,济南
43,济南超控电气设备有限公司,中国,山东,济南
44,济南伯宇珅航信息科技集团有限公司,中国,山东,济南
45,山东瓦尔特信息科技有限公司,中国,山东,济南
46,山东省竞体体育发展集团有限公司,中国,山东,济南
47,清智优化（济南）信息科技有限责任公司,中国,山东,济南
48,山东鼎立激光设备有限公司,中国,山东,济南
49,济南圣都食品有限公司,中国,山东,济南
50,济南智慧城系统集成有限公司,中国,山东,济南
51,山东和信新能源科技有限公司,中国,山东,济南
52,山东中州新型建材有限公司,中国,山东,济南
53,山东京鲁智能设备有限公司,中国,山东,济南
54,山东综纬新材料科技有限公司,中国,山东,济南
55,济南鲁味斋食品有限责任公司,中国,山东,济南
56,山东乐宁医疗科技有限公司,中国,山东,济南
57,济南伊特网络信息有限公司,中国,山东,济南
58,济南强富机械设备有限公司,中国,山东,济南
59,山东金象技术开发有限公司,中国,山东,济南
60,山东良乔环保科技集团有限公司,中国,山东,济南
61,山东利丰行工程机械有限公司,中国,山东,济南
62,济南鸿博建筑装饰有限公司,中国,山东,济南
63,山东科视文化产业有限公司,中国,山东,济南
64,山东凡知智造医药科技有限公司,中国,山东,济南
65,山东悠远铁路工程设计有限公司,中国,山东,济南
66,济南思克测试技术有限公司,中国,山东,济南
67,山东华视风行集团有限公司,中国,山东,济南
68,山东禾力升医学检验实验室有限公司,中国,山东,济南
69,山东吉星环保科技有限公司,中国,山东,济南
70,济南鸿鹏通风设备有限公司,中国,山东,济南
71,山东创康生物科技有限公司,中国,山东,济南
72,尤尼沃流体控制设备（山东）有限公司,中国,山东,济南
73,济南北方泰和新材料有限公司,中国,山东,济南
74,山东国镓晶谷半导体科技有限公司,中国,山东,济南
75,济南昊博制冷设备有限公司,中国,山东,济南
76,山东沁垣环保科技有限公司,中国,山东,济南
77,中科卫星（山东）科技集团有限公司,中国,山东,济南
78,山东奥凯机电设备有限公司,中国,山东,济南
79,山东汇友市政园林集团有限公司,中国,山东,济南
80,山东长才机械制造有限公司,中国,山东,济南
81,山东联升安全设施有限公司,中国,山东,济南
82,济南银河路桥试验检测有限公司,中国,山东,济南
83,山东德渡生物技术有限公司,中国,山东,济南
84,山东九旭机械科技有限公司,中国,山东,济南
85,济南汇金电器有限公司,中国,山东,济南
86,山东润安生物科技有限公司,中国,山东,济南
87,济南凯能电器有限公司,中国,山东,济南
88,山东硕淳科技有限公司,中国,山东,济南
89,山东嘉拓电子技术有限公司,中国,山东,济南
90,山东奥克斯畜牧种业有限公司,中国,山东,济南
91,济南金圣冷藏设备有限公司,中国,山东,济南
92,山东冠鑫信息工程有限公司,中国,山东,济南
93,道和陆港（山东）产业发展有限公司,中国,山东,济南
94,盛世华通（山东）智慧能源科技有限公司,中国,山东,济南
95,济南辰禾机器有限公司,中国,山东,济南
96,山东冉通新能源科技有限公司,中国,山东,济南
97,山东希诺世行生物科技有限公司,中国,山东,济南
98,山东兴牛乳业有限公司,中国,山东,济南
99,山东光之聚激光科技有限公司,中国,山东,济南
100,济南云祥电子科技有限公司,中国,山东,济南
101,山东大盾科创集团有限公司,中国,山东,济南
102,山东宏桥建设集团有限公司,中国,山东,济南
103,中保鉴（山东）智慧科技有限公司,中国,山东,济南
104,山东力拓智能科技有限公司,中国,山东,济南
105,山东小悟空数字科技有限公司,中国,山东,济南
106,山东济钢众电智能科技有限公司,中国,山东,济南
107,山东显微智能科技有限公司,中国,山东,济南
108,济南华钜实业有限公司,中国,山东,济南
109,济南城市照明工程有限公司,中国,山东,济南
110,山东大齐通信电子有限公司,中国,山东,济南
111,济南高和保洁服务有限公司,中国,山东,济南
112,济南悦创液压机械制造有限公司,中国,山东,济南
113,山东中晶芯源半导体科技有限公司,中国,山东,济南
114,山东泺特网络科技有限公司,中国,山东,济南
115,济南聚格实业有限公司,中国,山东,济南
116,名川开物（山东）智能装备有限公司,中国,山东,济南
117,山东中测检测科技有限公司,中国,山东,济南
118,山东晶特数字能源科技有限公司,中国,山东,济南
119,济南华昊精密机械制造有限公司,中国,山东,济南
