序号,企业名称,国家,省份,城市,经度,纬度,备注
1,山东省安泰化工压力容器检验中心有限公司,中国,山东,济南,117.109175,36.660625,
2,山东通汇数字科技有限公司,中国,山东,济南,,,未找到坐标
3,山东省电子口岸有限公司,中国,山东,济南,117.109297,36.661165,
4,山东黄河勘测设计研究院有限公司,中国,山东,济南,117.000137,36.681836,
5,山东亚丰建设工程有限公司,中国,山东,济南,117.210535,36.735056,
6,山东鸿鹄数商电子科技有限公司,中国,山东,济南,117.031625,36.679825,
7,碳索者（山东）新能源开发有限公司,中国,山东,济南,,,未找到坐标
8,山东阿雅娜医疗科技有限公司,中国,山东,济南,,,未找到坐标
9,世纪祥云（山东）环境科技有限公司,中国,山东,济南,,,未找到坐标
10,山东柯联信息科技有限公司,中国,山东,济南,,,未找到坐标
11,山东微广软件有限公司,中国,山东,济南,,,未找到坐标
12,特教（山东）教育科技集团有限公司,中国,山东,济南,,,未找到坐标
13,济南泉方科技有限公司,中国,山东,济南,,,未找到坐标
14,百纳数字科技有限公司,中国,山东,济南,,,未找到坐标
15,致谷建筑设计（山东）有限公司,中国,山东,济南,,,未找到坐标
16,山东四季汽车服务有限公司,中国,山东,济南,,,未找到坐标
17,易研学教育科技（山东）有限责任公司,中国,山东,济南,,,未找到坐标
18,山东中关创业信息科技股份有限公司,中国,山东,济南,117.223976,36.669788,
19,济南德易洗熨有限责任公司,中国,山东,济南,117.511275,36.691025,
20,山东高速新能源开发有限公司,中国,山东,济南,117.114425,36.661325,
21,山东嘉行博悦传媒科技有限公司,中国,山东,济南,,,未找到坐标
22,济南城市静态交通管理运营集团有限公司,中国,山东,济南,,,未找到坐标
23,山东优展文化传媒有限公司,中国,山东,济南,116.878330,36.737079,
24,山东齐水建设工程有限公司,中国,山东,济南,117.210535,36.735056,
25,济南光启科技发展集团有限公司,中国,山东,济南,,,未找到坐标
26,山东米通智能科技有限公司,中国,山东,济南,,,未找到坐标
27,济南三五一五信息科技有限责任公司,中国,山东,济南,,,未找到坐标
28,山东新中天信息技术股份有限公司,中国,山东,济南,,,未找到坐标
29,山东卓智盈讯科技信息有限公司,中国,山东,济南,,,未找到坐标
30,济南琥鑫商贸有限公司,中国,山东,济南,,,未找到坐标
31,山东恒信顺达数字科技有限公司,中国,山东,济南,,,未找到坐标
32,山东婧馨生物科技有限公司,中国,山东,济南,,,未找到坐标
33,山东舜顺达新材料科技有限公司,中国,山东,济南,,,未找到坐标
34,山东鲁维素饲料有限公司,中国,山东,济南,116.953519,36.604604,
